time,open,high,low,close,MA,SMA-based MA,MA,MA,MA,New Moon,Full Moon,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),MA,SMA-based MA,EMA,EMA,EMA,EMA,True Strength Index,Signal,4% Advance,4% Decline,Net Breadth,Zero Line,Upper Level,Lower Level,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1986-07-02,0.07639,0.07639,0.074847,0.074847,,,0.07763198181818182,0.07583909523809525,0.07566144444444443,0,0,,0.07639,0.074847,0.074847,,,,0.07408677353811544,0.07580104414611262,0.0755991111125788,-2.841320567694655,-2.5179722320903988,,,,,,,,49.565759362068505,51.072589288902634,,,,
1986-07-03,0.074847,0.07639,0.074847,0.074847,,,0.07775823636363635,0.07594933333333333,0.07566144444444443,0,0,,0.07639,0.074847,0.074847,,,,0.07411392448318274,0.07571431286010238,0.07544868889006304,-3.3926820792144112,-2.6429307816795435,,,,,,,,49.565759362068505,50.83094953389945,,,,
1986-07-07,0.074847,0.07639,0.073304,0.074076,,,0.07775823636363635,0.07580238095238095,0.07540433333333334,1,0,,0.07639,0.073304,0.074076,,,,0.07411257003735479,0.0755653753273658,0.07517415111205043,-4.503431543932793,-2.9087166048585793,,,,,,,,48.4017133581929,50.576801865871104,,,,
1986-07-08,0.074076,0.074076,0.073304,0.073304,,,0.07763196363636363,0.07561866666666667,0.07506144444444444,0,0,,0.074076,0.073304,0.073304,,,,0.07408369253602069,0.07535979575215074,0.07480012088964035,-6.086461529325442,-3.3626801654967027,,,,,,,,47.244453473885784,50.31073195684326,,,,
1986-07-09,0.073304,0.074076,0.073304,0.074076,,,0.07737943636363635,0.07550847619047618,0.07489,0,0,,0.074076,0.073304,0.074076,,,,0.07408341780259138,0.07524308704740976,0.07465529671171228,-6.645738631918496,-3.831688517842673,,,,,,,,48.5264390655562,50.20719760847082,,,,
1986-07-10,0.074076,0.075619,0.074076,0.074076,,,0.0772110909090909,0.0754717619047619,0.07463288888888889,0,0,,0.075619,0.074076,0.074076,,,,0.07408315288107026,0.07513698822491796,0.07453943736936983,-7.112236750026672,-4.30033826529753,,,,,,,,48.5264390655562,49.998053326500624,,,,
1986-07-11,0.074076,0.075619,0.073304,0.073304,,,0.07707080000000001,0.07528804761904762,0.07446144444444443,0,0,,0.075619,0.073304,0.073304,,,,0.0740553259924606,0.0749703529317436,0.07429234989549587,-8.201495969502394,-4.8576465087553675,,,,,,,,47.27977916354271,49.80963807470373,,,,
1986-07-14,0.073304,0.074847,0.072532,0.074847,,,0.0769305090909091,0.07521457142857144,0.07441855555555556,0,0,,0.074847,0.072532,0.074847,,,,0.07408360006415844,0.07495913902885783,0.0744032799163967,-7.448402439154095,-5.227754498812328,,,,,,,,49.956450604285344,49.670012005258286,,,,
1986-07-15,0.073304,0.073304,0.065588,0.066359,,,0.07660781818181818,0.07470014285714285,0.073304,0,0,,0.073304,0.065588,0.066359,,,,0.0738077214904385,0.07417730820805257,0.07279442393311736,-14.237675955046022,-6.514886135417142,,,,,,,,38.6980813343612,48.72621670224684,,,,
1986-07-16,0.064816,0.064816,0.053242,0.054785,,,0.07606067272727272,0.07367133333333332,0.07107488888888888,0,0,,0.064816,0.053242,0.054785,,,,0.0731283385800657,0.07241437109822961,0.06919253914649388,-26.838646186800798,-9.418280428471949,,,,,,,,29.31442376976453,47.19049652052388,,,,
